	chr	start	end
0	chr1	816251	816390
1	chr1	816811	817444
2	chr1	817873	818391
3	chr1	818680	819402
4	chr1	819793	819945
5	chr1	825696	825876
6	chr1	828276	828426
7	chr1	869973	870201
8	chr1	904340	905605
9	chr1	1157443	1159550
10	chr1	1200791	1201458
11	chr1	1212228	1212407
12	chr1	1213227	1213501
13	chr1	1259568	1261529
14	chr1	1376327	1376386
15	chr1	1433517	1434864
16	chr1	1505089	1506165
17	chr1	1575792	1575823
18	chr1	1606441	1607970
19	chr1	1658761	1659628
20	chr1	1693862	1694139
21	chr1	1775417	1775728
22	chr1	1780252	1783690
23	chr1	1847290	1848602
24	chr1	1857414	1857797
25	chr1	1858413	1859554
26	chr1	1908217	1909901
27	chr1	1918650	1918708
28	chr1	1960231	1961649
29	chr1	1964967	1967944
30	chr1	1968157	1968948
31	chr1	1988650	1991367
32	chr1	1994622	1997425
33	chr1	1997638	1997843
34	chr1	2025222	2026424
35	chr1	2044470	2045072
36	chr1	2097835	2099229
37	chr1	2110817	2113639
38	chr1	2115980	2116808
39	chr1	2124687	2124877
40	chr1	2126253	2128052
41	chr1	2132323	2134326
42	chr1	2142717	2142936
43	chr1	2148391	2148744
44	chr1	2149011	2149747
45	chr1	2150297	2150976
46	chr1	2151702	2151972
47	chr1	2189059	2190478
48	chr1	2195585	2196039
49	chr1	2198809	2199874
50	chr1	2204220	2204295
51	chr1	2205919	2206044
52	chr1	2223904	2224129
53	chr1	2226234	2226737
54	chr1	2235255	2241375
55	chr1	2241912	2242687
56	chr1	2242936	2243147
57	chr1	2245440	2249974
58	chr1	2250195	2262657
59	chr1	2265913	2266422
60	chr1	2275801	2276172
61	chr1	2279193	2279762
62	chr1	2288586	2293490
63	chr1	2294193	2294953
64	chr1	2298279	2305523
65	chr1	2310804	2315739
66	chr1	2381485	2382958
67	chr1	2383871	2385876
68	chr1	2411820	2411836
69	chr1	2545525	2549619
70	chr1	2555120	2555722
71	chr1	2557382	2557499
72	chr1	2577813	2579175
73	chr1	2584787	2585037
74	chr1	2642405	2643267
75	chr1	3170099	3172307
76	chr1	3173535	3174239
77	chr1	3174508	3175801
78	chr1	3182041	3182534
79	chr1	3593546	3593782
80	chr1	3596923	3598444
81	chr1	3626132	3626136
82	chr1	3629934	3631424
83	chr1	3677096	3677572
84	chr1	3864585	3865759
85	chr1	3890146	3891862
86	chr1	3901775	3901843
87	chr1	6025527	6029039
88	chr1	6056146	6060291
89	chr1	6498439	6504553
90	chr1	6504897	6505113
91	chr1	6505674	6511816
92	chr1	6520289	6520475
93	chr1	6555000	6555670
94	chr1	6579275	6579303
95	chr1	6581117	6582761
96	chr1	6591025	6591960
97	chr1	6599358	6599512
