	chr	start	end
0	chr1	817069	817440
1	chr1	818117	818345
2	chr1	818682	818799
3	chr1	904119	905001
4	chr1	910178	910472
5	chr1	939920	940068
6	chr1	976023	976683
7	chr1	976912	977020
8	chr1	997336	997471
9	chr1	998014	998404
10	chr1	1002289	1002359
11	chr1	1005170	1005899
12	chr1	1012736	1012794
13	chr1	1014645	1015255
14	chr1	1018940	1019069
15	chr1	1024021	1024185
16	chr1	1024530	1025572
17	chr1	1032727	1033069
18	chr1	1122367	1122500
19	chr1	1157464	1159549
20	chr1	1270634	1271062
21	chr1	1344994	1347551
22	chr1	1351430	1352043
23	chr1	1355150	1355727
24	chr1	1356660	1359248
25	chr1	1359502	1360942
26	chr1	1361457	1362292
27	chr1	1376327	1376419
28	chr1	1405695	1405897
29	chr1	1419502	1419523
30	chr1	1421493	1421827
31	chr1	1429549	1431733
32	chr1	1432184	1435085
33	chr1	1440703	1441018
34	chr1	1441727	1442496
35	chr1	1504800	1506169
36	chr1	1538737	1538989
37	chr1	1550251	1551448
38	chr1	1567214	1568608
39	chr1	1611221	1611534
40	chr1	1617183	1617272
41	chr1	1658814	1659591
42	chr1	1678594	1679133
43	chr1	1758325	1759230
44	chr1	1775379	1775772
45	chr1	1776923	1777334
46	chr1	1780252	1783972
47	chr1	1787207	1789530
48	chr1	1806829	1807407
49	chr1	1827123	1827736
50	chr1	1840230	1842147
51	chr1	1846244	1847711
52	chr1	1854168	1854327
53	chr1	1858365	1858780
54	chr1	1872888	1873340
55	chr1	1873553	1874158
56	chr1	1883540	1883755
57	chr1	1905989	1906733
58	chr1	1907086	1907254
59	chr1	1908345	1910200
60	chr1	2044810	2044979
61	chr1	2091948	2092360
62	chr1	2124736	2125166
63	chr1	2125439	2125567
64	chr1	2126257	2126384
65	chr1	2127140	2129017
66	chr1	2132444	2139158
67	chr1	2139458	2139721
68	chr1	2157846	2158516
69	chr1	2158737	2158882
70	chr1	2174517	2174825
71	chr1	2189180	2191322
