	chr	start	end
0	chr1	778316	779939
1	chr1	826592	827784
2	chr1	826592	827784
3	chr1	958346	961521
4	chr1	958346	961521
5	chr1	998404	1002289
6	chr1	998404	1002289
7	chr1	1012794	1014645
8	chr1	1019069	1021501
9	chr1	1114943	1117434
10	chr1	1114943	1117434
11	chr1	1212407	1213227
12	chr1	1230657	1232994
13	chr1	1272409	1275155
14	chr1	1303136	1310061
15	chr1	1303136	1310061
16	chr1	1323610	1325816
17	chr1	1347551	1350159
18	chr1	1374069	1376327
19	chr1	1398203	1400632
20	chr1	1406168	1408570
21	chr1	1419523	1421493
22	chr1	1470677	1472302
23	chr1	1511039	1512632
24	chr1	1573491	1575792
25	chr1	1613665	1617183
26	chr1	1692309	1693442
27	chr1	1723983	1725055
28	chr1	1745599	1746695
29	chr1	1745599	1746695
30	chr1	1777334	1780252
31	chr1	1888782	1892640
32	chr1	1918708	1920015
33	chr1	1918708	1920015
34	chr1	2003365	2004298
35	chr1	2049675	2051102
36	chr1	2049675	2051102
37	chr1	2193978	2195585
38	chr1	2204295	2205919
39	chr1	2204295	2205919
40	chr1	2212121	2214194
41	chr1	2226737	2235255
42	chr1	2390765	2392983
43	chr1	2411836	2413758
44	chr1	2524744	2527121
45	chr1	2555722	2557382
46	chr1	2585037	2588108
47	chr1	3623244	3626132
48	chr1	3648940	3650414
49	chr1	3745991	3747880
50	chr1	3771814	3773464
51	chr1	3795071	3797255
52	chr1	3855996	3859341
53	chr1	3899205	3901775
54	chr1	5990686	5995022
55	chr1	6198240	6200462
56	chr1	6234382	6236657
57	chr1	6391513	6394581
58	chr1	6489877	6491368
59	chr1	6494801	6498439
60	chr1	6553198	6555000
61	chr1	6579303	6581117
62	chr1	6599512	6604479
63	chr1	6612097	6615945
64	chr1	6624621	6626425
65	chr1	6700554	6702174
66	chr1	6783519	6786770
67	chr1	6783519	6786770
68	chr1	7770514	7772559
69	chr1	7782913	7785410
70	chr1	7942003	7942657
71	chr1	7960670	7962731
72	chr1	8024776	8027280
73	chr1	8317664	8319076
74	chr1	8420547	8424710
75	chr1	8814823	8818804
76	chr1	8876272	8879779
77	chr1	9065724	9069783
78	chr1	9128445	9129907
79	chr1	9181027	9183647
80	chr1	9234094	9235964
81	chr1	9292199	9295620
82	chr1	9428301	9429672
83	chr1	9538924	9541220
84	chr1	9588182	9590266
85	chr1	9651107	9655134
86	chr1	9688632	9691013
87	chr1	9820190	9824894
88	chr1	9908983	9911515
89	chr1	9908983	9911515
90	chr1	9942284	9944239
91	chr1	9996910	9998392
92	chr1	10032174	10035192
93	chr1	10209537	10212784
94	chr1	10298773	10299567
95	chr1	10398095	10400456
