chr	start.x	end.x	X	start.y	end.y
chr21	46606023	46606522	27195	46603992	46608802
chr18	39317948	39318447	19586	39316087	39319429
chr2	88866741	88867240	23305	88863413	88868211
chr1	144546494	144546993	2290	144916241	144044833
chr1	144546494	144546993	2294	120341858	149175684
chr1	144546494	144546993	2362	120913308	148460242
chr1	144546494	144546993	2397	121020772	149713009
chr1	144546494	144546993	2400	121041598	149733657
chr7	102425754	102426253	38573	102424067	102428892
chr1	116504362	116504861	2103	116502701	116506616
chr5	52799885	52800384	32797	52798581	52803934
chr8	41828267	41828766	39916	41828053	41829293
chr3	170044748	170045247	30086	170043313	170046631
chr10	76347	76846	4428	75711	76938
chr2	226791499	226791998	24913	226790944	226792367
chr3	132283366	132283865	29723	132282307	132285639
chr17	17839977	17840476	17415	17837449	17841344
chr6	53359225	53359724	35921	53358349	53360202
chrX	119685311	119685810	43774	119682093	119688431
chr16	22190733	22191232	15689	22189699	22193112
chr16	17223083	17223582	15598	17221234	17225885
chr16	4307482	4307981	15418	4306874	4308403
chrX	111620027	111620526	43692	111619868	111620047
chrX	111620027	111620526	43693	111620443	111621017
chr4	52722180	52722679	31328	52721776	52723358
chr1	171606282	171606781	3062	171604027	171608195
chr2	242085794	242086293	25225	242085808	242087052
chr8	140464632	140465131	40908	140463802	140466339
chr7	104944946	104945445	38581	104943446	104946178
chr16	75517202	75517701	16478	75516369	75517790
chr17	27353680	27354179	17519	27352262	27354637
chrX	11341352	11341851	42905	11337775	11343455
chr1	121395717	121396216	2294	120341858	149175684
chr1	121395717	121396216	2362	120913308	148460242
chr1	121395717	121396216	2397	121020772	149713009
chr1	121395717	121396216	2400	121041598	149733657
chr1	121516510	121517009	2215	121515811	121517313
chr1	121516510	121517009	2294	120341858	149175684
chr1	121516510	121517009	2362	120913308	148460242
chr1	121516510	121517009	2397	121020772	149713009
chr1	121516510	121517009	2400	121041598	149733657
chr1	52702829	52703328	1429	52702660	52704253
chr9	70418808	70419307	41475	70417274	70422974
chr16	17448920	17449419	15620	17448508	17449531
chr20	30290273	30290772	25759	30289561	30290864
chr15	89132790	89133289	15049	89131854	89133844
chr1	112393598	112394585	2021	112389405	112393626
chr5	39460970	39461469	32701	39459935	39462848
chr16	19294125	19294624	15647	19289449	19294181
chr16	19294125	19294624	15648	19294440	19297546
chr7	144842238	144842737	39093	144841896	144843477
chrX	11113652	11114151	42902	11112456	11115454
chr1	161389985	161390484	2886	161388494	161390865
chr17	82216596	82217095	19095	82213926	82220438
chr7	604307	604806	37230	600904	604613
chr10	89837587	89838086	6082	89836307	89839767
chr8	11124430	11124929	39386	11123786	11125456
chr17	43368957	43369456	18000	43367268	43370279
chr5	1108707	1109206	32433	1106834	1109920
chr17	59786409	59786908	18360	59782967	59788749
chr15	79978565	79979064	14892	79976382	79982863
chr8	26449022	26449521	39677	26444509	26450768
chr4	153651569	153652068	32151	153646060	153663027
chr7	65036526	65037025	38130	65036906	65037601
chr22	41919731	41920230	27837	41917874	41924637
chr6	27479357	27479856	35225	27477745	27480170
chr1	226002067	226002566	3939	226000265	226004046
chr1	81314393	81314892	1666	81313862	81315104
chr9	41358614	41359113	41416	41359458	41358860
chr1	53892850	53893349	1441	53890567	53894466
chr12	8026466	8026965	9215	8025873	8027895
chr16	67244281	67244780	16260	67240890	67245322
chr11	10606013	10607005	7086	10595795	10614416
chr14	68683259	68683758	13023	68680497	68686344
chr5	76855895	76856394	33142	76850593	76858253
chr22	29202722	29203221	27402	29201754	29205008
chr6	163405751	163406250	37103	163401197	163408096
chrX	8729124	8729623	42876	8727284	8729376
chr4	98663623	98664122	31763	98662652	98665053
chrX	45771060	45772013	43308	45752359	45772679
chr5	157571252	157571751	34202	157570949	157572086
chr2	47071984	47072483	22626	47067962	47081523
chr16	87388207	87388706	16733	87387195	87389461
chr16	55500467	55500966	16118	55497630	55503471
chr1	165600742	165601241	2942	165597931	165602233
chr15	38068995	38069945	13905	38067818	38078154
chr1	59292531	59293030	1522	59290021	59294723
chr7	141660183	141660682	39053	141656847	141666134
chr1	207963420	207963919	3681	207962194	207964115
chr16	31476782	31477281	15971	31475981	31478168
chr15	56245952	56246451	14260	56245705	56246118
chr5	116076431	116076930	33558	116076790	116078187
chr1	33338827	33339326	987	33325134	33346019
chr21	42783782	42784281	27032	42781185	42785398
chr17	31549763	31550262	17692	31548939	31550696
chr5	60520410	60520909	32955	60519825	60522987
chr7	95608665	95609164	38444	95597672	95612261
chrX	71622691	71623190	43531	71622507	71623487
chrX	49166785	49167284	43374	49165533	49168337
chr2	20617922	20618421	22123	20616672	20619653
chr16	8632527	8633026	15445	8631427	8634314
chr16	87953835	87954770	16750	87952720	87957608
chrX	153411136	153411635	43958	153411007	153411968
chrX	70433724	70434223	43519	70433598	70434480
chr6	13302582	13303081	34948	13301323	13306057
chr6	166958869	166959731	37153	166958235	166961951
chr7	73845636	73846135	38228	73843377	73847870
chr16	31869477	31869976	15972	31868384	31873175
chr11	14894971	14895470	7146	14894015	14896302
chr8	58396678	58397177	40086	58394102	58400330
chr18	6255077	6255576	19256	6255383	6256409
chr1	158180884	158181828	2761	158181807	158181906
chr15	68232448	68233418	14598	68231410	68234850
chr1	25875400	25875899	673	25874232	25876421
chrX	78321787	78322286	43574	78321707	78321901
chrX	78321787	78322286	43575	78322134	78323890
chr9	91164594	91165093	41739	91159332	91166689
chr10	6347944	6348443	4612	6344910	6351958
chr4	48127746	48128245	31314	48128231	48128496
chr21	39004704	39005203	26928	39002840	39012502
chr8	17907615	17908114	39465	17902684	17910588
chr1	36486536	36487035	1067	36483193	36488536
chrX	69618790	69619289	43517	69619075	69619830
chr17	27348954	27349453	17518	27348527	27350340
chr9	5627009	5627508	41127	5623412	5627185
chr3	119300891	119301390	29402	119299644	119304084
chr7	157851683	157852182	39281	157851400	157852455
chr2	74185905	74186404	23151	74179540	74188415
chr14	39232675	39233174	12656	39231940	39234740
chr7	7258275	7258774	37509	7256933	7260660
chr10	48634340	48634839	5359	48628815	48640977
chr9	114616965	114617464	42134	114615145	114620799
chr1	234612568	234613542	4156	234612285	234615247
chr9	91208737	91209236	41745	91207003	91209797
chr1	17206993	17207492	417	17205779	17209672
chr2	126657785	126658284	23795	126658024	126660208
chr8	22982654	22983153	39601	22970417	22984423
chr10	31603352	31603851	5175	31602414	31604459
chr20	23087088	23087587	25596	23087366	23088976
chr9	93566397	93566896	41809	93566609	93568033
chr8	11491953	11492452	39388	11491758	11493363
chr17	82297713	82298212	19104	82296492	82299704
chr1	146386982	146387481	2294	120341858	149175684
chr1	146386982	146387481	2362	120913308	148460242
chr1	146386982	146387481	2397	121020772	149713009
chr1	146386982	146387481	2400	121041598	149733657
chr7	100369065	100369564	38500	100364941	100372888
chr16	31352343	31352842	15961	31346722	31355004
chr11	44569123	44569622	7356	44569486	44571281
chr1	226679954	226680453	3958	226672174	226682086
chr8	12757391	12757890	39419	12756452	12758683
chr5	14809672	14810171	32529	14809336	14812914
chr9	6681060	6681559	41137	6680039	6685595
chr1	143877352	143877851	2180	143877598	143877393
chr1	143877352	143877851	2217	143831611	143938961
chr1	143877352	143877851	2294	120341858	149175684
chr1	143877352	143877851	2362	120913308	148460242
chr1	143877352	143877851	2397	121020772	149713009
chr1	143877352	143877851	2400	121041598	149733657
chr4	94345234	94345733	31751	94342989	94347098
chr1	233281899	233282398	4133	233276349	233284927
chr15	68795273	68795772	14610	68786906	68796729
chr1	203290387	203290886	3458	203284436	203292119
chr17	51121657	51122156	18232	51122144	51122687
chr17	18356554	18357053	17435	18355384	18359492
chr2	30225115	30225614	22301	30224847	30226230
chr15	58518120	58518619	14320	58514645	58527899
chr17	27473565	27474064	17528	27471462	27475574
chr19	29844853	29845352	21052	29844483	29845899
chr10	133305720	133306219	6793	133304935	133307568
chr11	1383170	1383669	6845	1382606	1384043
chr19	342639	343138	20020	341921	343204
chr17	45229082	45229581	18067	45227469	45232274
chrX	55008820	55009319	43428	55007327	55010118
chr15	92803748	92804247	15143	92801589	92811839
chr5	77077512	77078011	33149	77076849	77077995
chr7	139131634	139132133	38988	139130387	139132865
chr21	39006817	39007316	26928	39002840	39012502
chr10	26392278	26392777	5065	26389911	26394470
chr8	141119477	141119976	40924	141114677	141123143
chr22	17771601	17772100	27241	17769131	17772028
chr1	160574978	160575477	2822	160563861	160576110
chr1	51578314	51578813	1403	51577761	51579388
chr2	241965821	241966320	25224	241965447	241966420
chr11	15113351	15113850	7148	15113251	15114472
chr1	47235325	47235824	1361	47232907	47244243
chr20	57627877	57628376	26424	57626593	57631135
chr2	106189287	106189786	23542	106188337	106190445
chr16	21658610	21659497	15687	21656182	21660089
chr2	54053848	54054347	22694	54053124	54055387
chr5	448294	448793	32429	446489	449521
chrX	40570715	40571214	43227	40570253	40571798
chr15	45637486	45637985	14094	45636359	45639720
chr17	35367999	35368498	17772	35366839	35369478
chr15	40847275	40847774	13988	40846104	40848190
chr16	2905264	2905763	15381	2903918	2905519
chr19	40421097	40421596	21247	40420538	40422123
chr19	1101193	1102183	20060	1099058	1103360
chr17	63191600	63192596	18417	63190882	63192608
chr1	212671137	212671636	3772	212666422	212672510
chr11	112159630	112160527	8577	112157686	112160946
chrX	129772817	129773316	43818	129770843	129779482
chr10	133235208	133235707	6785	133235205	133235391
chr11	19346182	19346681	7189	19345771	19347127
chr11	3022356	3022855	6908	3021011	3023990
chr17	81160218	81160717	19052	81159429	81161150
chr1	36400954	36401453	1060	36400521	36402006
chr17	58659263	58659762	18317	58658499	58660102
chr15	85413381	85413880	14989	85411775	85415035
chrX	44545407	44545906	43299	44545016	44546782
chr9	23668854	23669353	41234	23668189	23670093
chr8	30722793	30723292	39782	30722240	30724345
chr1	192580370	192580869	3342	192580403	192581777
chr14	77033852	77034351	13256	77031082	77035023
chr7	111974378	111975791	38663	111969689	111976142
chr19	42555382	42555881	21383	42553592	42556889
chr1	233291377	233291876	4136	233289176	233294121
chr1	161499638	161500537	2889	161498646	161501714
chr1	203289476	203289975	3458	203284436	203292119
chr13	22926227	22926726	11404	22926031	22927383
chr1	1996101	1996600	32	1994622	1997425
chr1	145960364	145960863	2294	120341858	149175684
chr1	145960364	145960863	2362	120913308	148460242
chr1	145960364	145960863	2397	121020772	149713009
chr1	145960364	145960863	2400	121041598	149733657
chr1	66758124	66758623	1614	66757509	66758973
chr15	75029539	75030038	14767	75028095	75031461
chr10	59908362	59908861	5456	59908827	59909055
chr1	161772407	161772906	2920	161769411	161775191
chr16	17204564	17205063	15597	17201685	17206771
chr7	2637441	2637940	37302	2634555	2643098
chr15	40334010	40334509	13965	40326140	40337347
chr10	80530132	80530631	5942	80522128	80531517
chr16	17224705	17225204	15598	17221234	17225885
chr7	104983980	104984479	38584	104982824	104985889
chr17	74532118	74532617	18707	74526656	74532386
chr12	32674696	32675195	9730	32674105	32675356
chr9	96413767	96414266	41822	96411402	96416563
chr6	35731254	35731753	35582	35728604	35734482
chr4	168503938	168504437	32269	168502850	168505050
chr14	76768208	76768707	13234	76765598	76785896
chr22	49848269	49848768	28031	49847807	49849642
chr8	129995017	129995516	40699	129992029	130000741
chr17	17694561	17695060	17408	17693273	17695935
chr12	109828038	109828537	10834	109826961	109829947
chr15	84814802	84815301	14969	84814218	84816273
chr4	153655877	153656376	32151	153646060	153663027
chr9	70046312	70046811	41463	70045778	70047075
chr21	40854110	40854609	26961	40853735	40855786
chr15	56468446	56468945	14261	56468173	56469109
chr7	152459811	152460310	39237	152459245	152460602
chr5	170358141	170358640	34320	170354248	170366865
chr2	57908637	57909136	22743	57908707	57909502
chr16	84599719	84600218	16643	84593796	84612343
chr16	29666519	29667018	15831	29663971	29667725
chr2	26768993	26769492	22226	26768489	26772443
chrX	78322776	78323275	43575	78322134	78323890
chr12	9118224	9118723	9260	9117682	9126170
chr2	121287326	121287825	23778	121286104	121288571
chr10	44967973	44968472	5307	44962429	44971402
chr1	143880066	143880565	2178	143880755	143880555
chr1	143880066	143880565	2217	143831611	143938961
chr1	143880066	143880565	2294	120341858	149175684
chr1	143880066	143880565	2362	120913308	148460242
chr1	143880066	143880565	2390	143880523	143880757
chr1	143880066	143880565	2397	121020772	149713009
chr1	143880066	143880565	2400	121041598	149733657
chr7	150435577	150436076	39151	150435041	150437231
chr1	111507534	111508033	1993	111505901	111520327
chr7	134454251	134454750	38941	134451278	134456207
chr5	67193045	67193544	33017	67192227	67194649
chr7	158863803	158864302	39293	158863525	158864429
chr2	88168287	88168786	23295	88167749	88169903
chrX	111504904	111505403	43689	111504863	111505093
chr6	107811569	107812068	36193	107809991	107812794
chr22	21939339	21939838	27292	21935855	21944146
chr1	173048628	173049127	3090	173047815	173052026
chr5	95863309	95863808	33407	95856485	95874693
chr9	73132214	73132713	41513	73131713	73133376
chr11	6200883	6201382	6953	6200304	6201731
chr12	132768369	132768868	11368	132765175	132774730
chr22	49967473	49967972	28036	49964836	49968724
chr1	192161893	192162392	3324	192160736	192163262
chr11	4459431	4459930	6937	4454540	4461205
chr15	90019981	90020480	15080	90015629	90027946
chr1	65691449	65691948	1588	65690109	65692745
chr8	55885537	55886036	40042	55882258	55893378
chr17	74463098	74463597	18699	74461042	74466066
chr2	137969291	137969790	24010	137966365	137970248
chr17	3886698	3887197	17057	3885775	3888752
chr10	133389020	133389519	6799	133387875	133390989
chr2	182713521	182714020	24418	182713172	182713644
chr2	182713521	182714020	24419	182713907	182715202
chr1	108557219	108557718	1868	108554514	108559064
chr9	209292	209791	41036	206775	212007
chr19	2775140	2775639	20184	2773968	2776993
chr20	56418901	56419400	26387	56415437	56424485
chrX	129777258	129777757	43818	129770843	129779482
chr17	49217982	49218481	18171	49215204	49220722
chr1	51792826	51793325	1409	51792481	51792849
chr1	51792826	51793325	1410	51793221	51794343
chr6	144153211	144153710	36772	144151754	144154903
chr1	20153024	20153523	493	20151847	20155397
chr15	84598256	84598755	14954	84597852	84599313
chr10	52466436	52466935	5432	52463103	52467297
chr1	231529847	231530346	4076	231530071	231531697
chrX	65601444	65601943	43454	65599508	65603586
chr12	22549492	22549991	9462	22547949	22550898
chr1	40338653	40339538	1158	40338656	40341576
chr14	64699004	64699503	12915	64698679	64699889
chr8	8994991	8995490	39367	8994440	8995165
chr8	8994991	8995490	39368	8995418	8995675
chr17	80092427	80093386	19015	80090963	80095308
chr5	151214046	151214545	34133	151213508	151216266
chr6	166463340	166463839	37133	166462100	166464543
chr16	90081892	90082391	16861	90082134	90083022
chr14	69615455	69615954	13047	69614786	69633576
chr8	37551060	37551559	39816	37550530	37552662
chr12	116538924	116540223	11010	116538576	116539000
chr12	116538924	116540223	11011	116539227	116540905
chr8	22138901	22139400	39574	22137119	22140263
chr17	29706800	29707299	17621	29701522	29713044
chr1	1607048	1607547	18	1606441	1607970
chrX	48891598	48892097	43360	48890643	48892196
chr10	95697397	95697896	6187	95696285	95699161
chr9	87722301	87722800	41645	87721752	87723765
chr12	98439966	98440465	10614	98438170	98441445
chr15	85578929	85579428	15008	85577957	85585981
chr9	33297370	33297869	41298	33294420	33299893
chr4	69831663	69832162	31385	69831247	69832852
chr16	3150286	3150785	15397	3149472	3151431
chr16	27318466	27318965	15758	27315967	27322006
chr1	206467842	206468341	3613	206466206	206470106
chr19	55678106	55678605	21924	55678355	55680298
chr17	29722591	29723090	17623	29715515	29725182
chr11	78424546	78425045	8300	78423235	78426582
chr22	50308421	50308920	28048	50308605	50310820
chr12	40226185	40227151	9746	40227124	40227281
chr22	37050541	37051040	27619	37050055	37051201
chr8	60652069	60652568	40111	60650942	60654132
chr1	248863115	248863614	4423	248862809	248863889
chr21	42777997	42778496	27030	42777212	42778642
chr9	26954062	26954561	41239	26953362	26954064
chr20	37336475	37336974	25961	37335275	37338604
chr7	101856744	101857243	38552	101854946	101859263
chr18	79405675	79406174	19994	79402414	79407568
chr17	82911855	82912354	19145	82911761	82912825
chr5	50445230	50445729	32779	50445041	50446165
chr17	74780011	74780510	18729	74778939	74781259
chr3	119570158	119570657	29419	119568873	119572046
chrX	135347310	135347809	43878	135346445	135348699
chr8	1766741	1767240	39306	1765431	1769263
chr17	1607195	1607694	16956	1604418	1615133
chr11	94135091	94135590	8408	94131512	94137626
chr19	35909208	35909707	21153	35909454	35914436
chr9	120931364	120931863	42181	120930818	120932734
chr22	44664155	44664654	27920	44663316	44667448
chr19	47600216	47600715	21572	47599667	47601269
chr5	132496676	132497175	33701	132493728	132498374
chr15	83062623	83063122	14942	83061290	83063626
chr9	76395350	76395849	41543	76395830	76395940
chr15	90869651	90870150	15127	90868914	90870626
chr4	25310413	25310912	31021	25310134	25310609
chr9	117744753	117745252	42166	117744535	117745527
chr17	35801403	35801902	17781	35799907	35802710
chr1	121092615	121093114	2294	120341858	149175684
chr1	121092615	121093114	2362	120913308	148460242
chr1	121092615	121093114	2397	121020772	149713009
chr1	121092615	121093114	2400	121041598	149733657
chrX	66074967	66075466	43489	66072146	66077883
chr5	179530563	179531062	34490	179530187	179531238
chr8	28411841	28412340	39721	28411368	28412842
chr2	148643015	148643514	24105	148642422	148643684
chr20	35768042	35768541	25888	35765774	35771452
chr2	42809920	42810419	22489	42809174	42811920
chr12	64625503	64626002	10254	64623106	64628468
chr20	47359012	47359511	26118	47356695	47363556
